ID;BENEFICIAIRE;MONTANT;ID_DEPUTE;NOM_DEPUTE;GROUPE;DEP;
8285;Homo-Sphère;15000;610770;LAGARDE Sonia  ;UDI;Nouvelle-Calédonie;
8286;Hôpital de Mouscron;40000;610891;CORDERY Philip;SRC;Français établis hors de France;
8287;Horizon Cancer;1000;746;CARREZ Gilles;UMP;Val-de-Marne;
8288;Horizon Verdure;3000;1498;GOASGUEN Claude;UMP;Paris;
8289;Horizons Grecs;3000;1689;IMBERT Françoise;SRC;Haute-Garonne;
8290;Humanis;1300;605963;ALAUZET Eric;ECOLO;Doubs;
8291;Humanité et biodiversité;5000;2374;GAILLARD Geneviève;SRC;Deux-Sèvres;
8292;Huntington Avenir;20000;608495;BRAILLARD Thierry;RRDP;Rhône;
8293;I Love LH;3000;345619;PHILIPPE Edouard;UMP;Seine-Maritime;
8294;I Love My Ram;2000;610830;GIBBES Daniel;UMP;Saint-Barthélemy et Saint-Martin;
8295;I.A.M.B Boulodrome Manuel Liminana;1500;2815;TIAN Dominique;UMP;Bouches-du-Rhône;
8296;IASEF;1000;267886;PONIATOWSKI Axel;UMP;Val-d'Oise;
8297;ICENA (Inter Comité d'Entreprises Nord Ardèche et Vallée du Rhône);2500;330357;DUSSOPT Olivier;SRC;Ardèche;
8298;Idéa Paris 15;1500;230329;LAMOUR Jean-François;UMP;Paris;
8299;IDEALIMAGE;1000;607846;DARMANIN Gérald;UMP;Nord;
8300;Idéart 15;3500;230329;LAMOUR Jean-François;UMP;Paris;
8301;IEMSR;10000;1761;KERT Christian;UMP;Bouches-du-Rhône;
8302;IFAC Marseille Provence;2000;2815;TIAN Dominique;UMP;Bouches-du-Rhône;
8303;IFC Nice Cyclisme;3000;1263;ESTROSI Christian;UMP;Alpes-Maritimes;
8304;Iffwater;4000;2045;MAMÈRE Noël;ECOLO;Gironde;
8305;Ikamberé;30000;1880;LE GUEN Jean-Marie;SRC;Paris;
8306;Il de Ré Radiodiffusion (Soleil de Ré);1500;605694;FALORNI Olivier;RRDP;Charente-Maritime;
8307;Il faut aller voir ailleurs;2000;608186;AUROI Danielle;ECOLO;Puy-de-Dôme;
8308;ILLIFAUT;10000;1874;LE FUR Marc;UMP;Côtes-d'Armor;
8309;Image/imatge;15000;1592;HABIB David;SRC;Pyrénées-Atlantiques;
8310;IMAGES VIDEOS ET COMPAGNIE;1000;2952;WARSMANN Jean-Luc;UMP;Ardennes;
8311;in mémoriam maquise de l'Oisans;2000;342415;BATTISTEL Marie-Noëlle;SRC;Isère;
8312;In Memoris ;1000;267762;DECOOL Jean-Pierre;UMP;Nord;
8313;In Pacts;3000;606299;MOUDENC Jean-Luc;UMP;Haute-Garonne;
8314;Independante gymnique;1000;330788;REYNES Bernard;UMP;Bouches-du-Rhône;
8315;Infernal Square Productions;2000;2876;VANNSON François;UMP;Vosges;
8316;Influenscenes;10000;610427;ABEILLE Laurence;ECOLO;Val-de-Marne;
8317;Info OGM;10000;;
8318;INGRANDES DE TOURAINE;10000;667;BRIAND Philippe;UMP;Indre-et-Loire;
8320;Initi'Elles Etouvie;1100;609520;POMPILI Barbara;ECOLO;Somme;
8319;Initiativ'Emploi et Citoyenneté;1000;334149;FASQUELLE Daniel;UMP;Pas-de-Calais;
8321;INSEME;1000;605782;MARCANGELI Laurent;UMP;Corse-du-Sud;
8322;Insertion et Développement par l'Environnement en Alsace Bossue;1000;608416;HETZEL Patrick;UMP;Bas-Rhin;
8323;Insertion services;5000;687214;BERRIOS Sylvain;UMP;Val-de-Marne;
